Range,% No,% Yes
0 - 10%,NA,NA
10 - 20%,NA,NA
20 - 30%,0.16666666666666666,0.8333333333333334
30 - 40%,0.2222222222222222,0.7777777777777778
40 - 50%,0.30985915492957744,0.6901408450704225
50 - 60%,0.5717776420281002,0.42822235797189984
60 - 70%,0.6418732782369146,0.3581267217630854
70 - 80%,0.6894946808510638,0.31050531914893614
80 - 90%,0.8815755377040684,0.11842446229593159
90 - 100%,0.9513958482462419,0.048604151753758054
